stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0,00000] opening C:\Users\muril\PI_2_GAME\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0,00000] Also searching C:\Users\muril\PI_2_GAME\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0,00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0,00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0,00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0,00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0,00023] added dtor for timer 000001B51AB293E0, func 00007FFC182E1050
dtor     D               dtor.c:196  _al_register_destructor          [   0,00031] added dtor for queue 000001B51AB5AFF0, func 00007FFC182E1C30
system   D            wsystem.c:834  maybe_parent_dir                 [   0,00043] Also searching C:\Users\muril\PI_2_GAME\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0,00059] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0,00063] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0,00316] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0,02785] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0,02902] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0,02908] al_display=000001B51ABCCDC0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0,02912] al_display->vt=000001B51AB724C0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0,03157] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0,03165] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03170] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03174] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03178] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03181] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03185] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03193] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03199] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03202] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03208] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03211] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03215] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03223] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03226] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03232] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03242] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03249] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03254] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03258] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03262] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03267] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03273] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03278] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03281] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03285] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03288] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03292] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03294] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03296] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03299] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03302] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0,03304] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03310] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03313] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03316] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03318] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03322] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03324] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03329] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03332] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03334] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03337] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03339] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03342] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03344] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03352] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03355] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03359] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03365] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03369] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03376] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03381] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03389] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03398] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03406] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03423] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03434] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03444] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03450] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03454] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03458] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03463] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0,03465] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03469] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03473] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03480] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03508] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03529] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03549] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03563] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03567] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03570] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03575] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03578] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03580] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03582] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03585] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03588] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03591] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03596] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03598] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03600] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03602] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03605] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03607] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03610] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03612] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03614] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03616] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0,03619] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0,03621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0,03624] Single Buffer requirement not met.
